2,1,265,292,75,40,1,1,1
2,2,534,331,51,31,1,1,1
2,3,577,292,62,39,1,1,1
2,4,818,378,47,30,1,1,1
2,5,911,331,56,38,1,1,1
2,6,1061,766,47,28,1,1,1
2,7,1303,853,62,39,1,1,1
2,8,1350,780,51,29,1,1,1
2,9,1604,854,78,39,1,1,1
3,1,276,299,74,39,1,1,1
3,2,538,335,49,31,1,1,1
3,3,581,299,60,38,1,1,1
3,4,821,383,46,30,1,1,1
3,5,909,339,55,37,1,1,1
3,6,1059,753,47,29,1,1,1
3,7,1302,833,61,38,1,1,1
3,8,1348,767,51,28,1,1,1
3,9,1595,836,78,37,1,1,1
4,1,281,302,73,39,1,1,1
4,2,539,338,50,30,1,1,1
4,3,582,302,60,38,1,1,1
4,4,822,386,46,29,1,1,1
4,5,908,343,55,37,1,1,1
4,6,1058,748,47,28,1,1,1
4,7,1301,825,61,37,1,1,1
4,8,1348,761,50,28,1,1,1
4,9,1592,827,77,38,1,1,1
5,1,286,306,73,37,1,1,1
5,2,541,339,49,30,1,1,1
5,3,584,305,60,38,1,1,1
5,4,823,389,46,29,1,1,1
5,5,907,347,55,36,1,1,1
5,6,1057,742,47,28,1,1,1
5,7,1300,816,61,37,1,1,1
5,8,1347,754,50,29,1,1,1
5,9,1587,819,77,36,1,1,1
6,1,292,309,72,38,1,1,1
6,2,542,341,49,30,1,1,1
6,3,586,309,59,37,1,1,1
6,4,825,392,45,29,1,1,1
6,5,907,351,54,36,1,1,1
6,6,1056,736,46,28,1,1,1
6,7,1300,807,60,36,1,1,1
6,8,1346,748,50,28,1,1,1
6,9,1608,862,77,36,1,1,1
7,1,302,316,71,36,1,1,1
7,2,545,344,49,29,1,1,1
7,3,589,315,59,37,1,1,1
7,4,827,397,45,29,1,1,1
7,5,905,358,54,36,1,1,1
7,6,1054,726,46,28,1,1,1
7,7,1298,790,61,35,1,1,1
7,8,1344,736,50,28,1,1,1
7,9,1608,862,77,36,1,1,1
8,1,307,319,71,36,1,1,1
8,2,547,345,48,29,1,1,1
8,3,591,319,58,36,1,1,1
8,4,828,400,45,28,1,1,1
8,5,904,362,53,35,1,1,1
8,6,1054,721,45,27,1,1,1
8,7,1298,782,60,35,1,1,1
8,8,1343,731,50,28,1,1,1
